team,elo_final,wins,losses,games
Thunder,1650.8027129258455,21,1,22
Lakers,1586.0202226644135,16,5,21
Pistons,1584.7027195890712,17,5,22
Rockets,1575.018686286167,14,5,19
Spurs,1569.7728282601383,15,6,21
Nuggets,1560.57971228721,15,6,21
Raptors,1548.9292916975342,15,8,23
Knicks,1547.0748661694954,14,7,21
Heat,1545.2258865715532,14,8,22
Timberwolves,1543.905455449949,14,8,22
Magic,1537.7682383294737,13,9,22
Celtics,1537.730087689264,13,9,22
Suns,1536.9359285347664,13,9,22
Hawks,1524.4393316220248,13,10,23
76ers,1511.761601011701,12,9,21
Cavaliers,1508.8661554272303,13,10,23
Warriors,1489.7850062106952,11,12,23
Trail Blazers,1481.7517333198114,9,13,22
Grizzlies,1474.9212203096606,9,13,22
Bucks,1466.3568022424345,10,13,23
Jazz,1465.573946623956,8,13,21
Bulls,1460.5594660658385,9,12,21
Mavericks,1449.940066089304,8,15,23
Clippers,1425.455732594867,6,16,22
Hornets,1422.6865518885231,6,16,22
Kings,1417.793455039228,5,17,22
Nets,1412.715553173663,5,17,22
Pacers,1399.372189908849,4,18,22
Wizards,1390.2515274649786,3,18,21
Pelicans,1373.3030245523532,3,20,23
